Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='26mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='27mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='28mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='29mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='30mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
10.8,-8.11150684177318,-0.047565284856587,-0.414149846569848,-0.053729327976122,-0.008530118024447,-0.151045169000102
10.9,-0.351601168386175,-0.095105090523819,-4.04918128948706,0.068134006490011,-0.024634518376485,-0.099844255576378
11,0.019517311533001,-0.222166209249523,-0.675378129372548,-0.214871513089107,-0.053340329127932,-0.112271867537863
11.1,-0.188552609751224,-0.101857097879797,-0.021745548771997,-0.021141951412919,-0.101700786303749,-0.137723785202005
11.2,-0.261156998031776,-1.34978021016017,-0.010665463265695,-0.068839739934868,-0.214908130735939,-0.520511536772991
11.3,-1.22345027409996,-0.048072739713285,-0.042858423675668,-0.134956893099286,-0.183646487794664,-4.70134221924219
11.4,-0.417785620033661,-0.029425260002961,-0.079031182787228,-0.327406940246578,-0.76421751815016,-0.491011505384456
11.5,-0.274046779296428,-0.117284785635,-0.116174757528977,-0.240078283262526,-4.28263768606039,-0.029725634961741
11.6,-0.025943249196469,-0.077371138060716,-0.154933707852671,-0.916898365096347,-0.060784838146322,-0.312730291072645
11.7,-0.030902258124651,-0.163707311140762,-0.195929958920143,-0.144128541427008,-0.111801802732757,-0.181660759450874
11.8,-0.081588132909646,-0.232214606105534,-0.207547898523413,-5.10853317061,-0.028889161178964,-0.143922022164063
11.9,-0.159443709004352,-0.637712308249353,-10.6199502821251,-0.173132565188346,-0.048147156412518,-0.130059547976065
12,-0.283649408013953,-0.368604233912548,-10.5321682165931,-0.017655661760963,-0.247082448010772,-0.121557558163974
12.1,-1.17348414510052,-1.58915138157255,-0.334892743992803,-0.024188902777451,-0.036876374885702,-0.158213817432962
12.2,-0.42560393274396,-0.685045274175857,-0.03656233788942,-0.056010749578061,-0.120621805119886,-0.368439818405687
12.3,-0.988842197043628,-0.725100698182374,-0.015239543694093,-0.169914916630978,-0.202033692152444,-1.70595513648065
12.4,-4.2876551337534,-0.089208417209199,-0.033784641660622,-0.048944704286507,-0.521325936856107,-1.99076370887755
12.5,-3.05587003761042,-0.004172841804189,-0.072707254772126,-0.343088050668567,-0.334194102570608,-1.87145036880972
12.6,-0.276293564146113,-0.022171343063454,-0.130374288493756,-0.924235809223275,-0.211182040949447,-0.169547070843653
12.7,-0.042982744328356,-0.04633619560678,-0.196052823183833,-0.568092582566821,-0.066985380972521,-0.066873139523813
12.8,-0.006570723556552,-0.129011089962809,-0.20098039640775,0.032190540349716,-0.052569255365153,-0.108245970969386
12.9,-0.030236525789874,-1.38042912201467,-0.01790435615372,-0.061904091411628,-0.048748382533504,-0.119667483743232
13,-0.057721466166289,-0.085670269969802,-0.011847169800917,-0.124063348811322,-0.26743364154657,-0.399124463648135
13.1,-0.079127453859253,-0.108896286402382,-0.053870168712616,-0.281133822450863,-0.745938514973501,-0.250323562500937
13.2,-0.143667228208746,-0.739039070875174,-0.137651117062078,-0.043317142073881,-2.02201439502023,-0.76676879539953
13.3,-0.554193832265572,-0.022513855564403,-0.336205197359229,-0.81895513354579,-1.43177484632656,-1.65841093537362
13.4,-1.28261406707417,-0.11345842263753,-0.082632227715479,-6.42604281023061,-4.87570446222983,-0.089861808754018
13.5,-0.95951025798701,-0.190952215244801,-0.824914429369421,-1.94621459107709,-0.165246951882107,-0.045093622736689
13.6,-0.04841937506533,-0.330418903977028,-8.02089456481132,-0.28685234959312,-0.045992235540253,-0.01013619199218
13.7,-0.120798421308717,-0.745304594660987,-1.79569482484475,-0.083399341302603,-0.018094962848378,-0.009829500672423
13.8,-0.211612246135871,-5.69037669286623,-0.588533877940651,-0.035127992191592,-0.078705859551789,-0.023779924787477
13.9,-1.76212987064816,-0.204398185396729,-0.655673050268493,-0.020998622380345,-0.012610561710781,-0.055686540762626
14,-0.684311676528027,-0.530531814116414,-0.055790451014843,-0.017183510867372,-0.017239658587437,-0.108861088846824
14.1,-1.49302958093336,-1.94169214004516,-0.0843801393494,-0.017458012799337,-0.014177742267557,-0.458867865967059
14.2,-0.289054263982132,-0.068292084288936,-0.043868339909809,-0.020350755695468,-0.073927522361966,-0.027564149328242
14.3,-7.88771561097095,-0.158145030388218,-0.045921461596176,-0.02617327710261,-0.156017014897453,-0.015457739974979
14.4,-13.613216472661,-0.034551931349454,-0.039693282985624,-0.036359683794713,-11.1033042715613,-0.006636157589118
14.5,-0.301956919654305,-0.020112372417612,-0.007988729509091,-0.053787644959743,-0.042476413420359,-0.025836075120352
14.6,-0.881218918483175,-0.027699833085978,-0.022433092854163,-0.08440408285019,-0.02366976582799,-0.046865512235867
14.7,-0.109708781279523,-0.022583935222938,-0.0226734738661,-0.143185586103522,0.003640871216066,-0.178609019337794
14.8,-0.007825455866753,-0.042763905589445,-0.054950819821327,-0.285461309987167,-0.069256945568966,-0.155635801532926
14.9,-0.09156050385904,-0.066621761115336,-0.335325149597969,-1.01939760403865,-0.138575068071435,-0.522954008416445
15,-0.033831578522086,-0.093948534412664,-0.101289413134965,-1.4295836452808,-0.223763254226582,-4.68444402431416
15.1,0.01029904301193,-0.123905646309138,-0.129801038800304,-0.23530115707715,-0.703487279314423,-0.272494751360551
15.2,-0.00452307785799,-0.155515088158928,-0.134069486172233,-0.452237410121052,-3.13880840908433,0.282799071349014
15.3,-0.191422477037787,-0.042350127076116,-0.173337363570623,-1.14181448791462,-0.078938540003097,-0.089544612356609
15.4,-0.391832347224315,0.038184928882587,-0.344137483032523,-4.14525226982128,-0.017848623186511,-0.584881588915838
15.5,-0.461416835738633,-0.156090619573393,-0.896004920345612,0.331060592929258,-0.86467859532862,-0.635882365797135
15.6,-0.417746918296751,-0.386843558159647,-0.435364994880536,-0.330435312606377,0.351334782300874,-0.038518783627232
15.7,-0.302510667720283,-0.639442437875343,-0.745450968866204,-1.28041547942484,-0.087594003444116,-0.024793800723586
15.8,-0.170009902563613,-0.145565173561503,-9.01189591141114,-0.033339983673152,-0.162515091504319,-0.100503642758869
15.9,-0.073323790453979,-1.32952667060144,-1.62532031516895,-0.03109872561038,-1.07735110072397,-0.350504082268293
16,-0.0585399610411,-7.48004201755015,-0.089234064508497,-0.058583384929289,-0.148292351553193,-0.056426499477867
16.1,-0.180020275374875,-1.17633171011413,-0.275486698620282,-0.08441784630172,-0.497104882469526,0.001129040349663
16.2,-0.599975385951827,-0.543352222077833,-0.724396922722247,-0.103657414332189,-0.145941929910597,-0.165344386769838
16.3,-2.70350211162021,-0.033162552500414,-1.62868767141827,-0.115673254827416,-1.06216649198458,-0.20951361054489
16.4,-4.31221148483491,-0.046107829035233,-0.08939055725402,-0.121563357681905,-0.071707556255129,-0.304330425876982
16.5,-0.254817527468461,-0.131388317040089,-0.155029550345219,-0.123475102972339,0.061803976258008,0.07718852527475
16.6,-0.135476485107266,-0.041911721519014,-0.171496157036771,-0.124212323287561,-0.28137876920506,-4.90702649314774
16.7,-0.266057529874605,-0.267940623770899,-3.91994758508448,-0.126840562619551,-0.3020671083174,-0.287543715375575
16.8,-0.1094305096518,-0.056290001921484,-2.55594313695067,-0.134203849259202,-0.283140123286134,-0.121388973022746
16.9,-0.261545140905765,-0.090667033201443,0.26764077441348,-0.148315950570884,-0.607297418554288,-0.355821684090149
17,-0.391170805751946,-0.232267981372549,-0.093657062627137,-0.169626439986496,-0.285788954124427,-0.206882991947391
17.1,-2.08024735003208,-0.697700945068637,-0.220890108102085,-0.196226504776133,-1.24570348661681,-0.459834179634665
17.2,-0.201477184591545,-0.07851428311291,-0.284610162079214,-0.223188519696663,-0.291080939199654,-0.490517497828791
17.3,-0.162902756086154,0.124659145129551,-0.270102881590015,-0.242483910506666,-3.64819318877792,-0.160927348367642
17.4,-0.12452788665184,-0.082751771669245,0.266447835469521,-0.244348305069342,-0.333046481878801,-0.640275212302981
17.5,-0.104180471157834,-0.118838255684679,-0.548432102956917,-0.221438855755267,-0.237194526398477,-0.06401355708849
17.6,-0.097529605583057,-0.256499463010138,-0.381354742826566,-0.17687457312888,-0.977776996954748,-0.079954126816146
17.7,-0.244256559627259,-0.14344929939128,-0.46823677468269,-0.275216068000682,-0.607724692073295,-1.7276160367766
17.8,-0.386112919823568,-0.29515359740161,-0.380683661656051,-0.224909959426529,-1.3887467622596,-0.313247930212089
17.9,-1.25301628707376,-0.246734938524998,-0.71180001648771,0.445220028635526,-4.7243211919279,-0.278453329126952
18,-0.532748686418624,-0.14533706849739,-1.42770769053026,0.35217357405575,-0.223705069496002,0.217613015276234
18.1,-0.048951779385238,-0.108242897409824,-0.150306868406424,-3.16326127980192,-0.181994731593075,-0.333933915907227
18.2,-0.142669364833074,-0.289503176195408,-0.125531300736137,-0.286367436976456,-0.425743931793356,-3.57048254874837
18.3,-0.015916770278934,-0.10891427314923,-0.503539576798085,-0.031683311861222,-0.016796428025678,-8.51697369182898
18.4,-0.329313301722469,-0.385334410963931,-1.38643068338329,-0.036909980767282,-0.528547907631014,-0.419775002679493
18.5,-0.098298042938197,-0.330041839688167,-8.69453805127399,-0.05503166948039,-0.216250338287328,-0.119530289575332
18.6,-0.250009973964122,-0.783924717552334,-0.03656114878746,-0.071860105482935,-1.32612543484427,-0.210574020684273
18.7,-0.758844349469647,-0.631484372444091,-0.090304590069773,-0.321016438633203,-0.096789892928834,-0.048581574808828
18.8,-0.793709595518458,-1.08758729535668,-0.124132508897382,-2.6826327172043,-0.005529070474243,-0.16358723795223
18.9,-0.210127753463151,-0.756259113524495,-0.891631535643132,-0.035646020960157,-0.281998782014557,-0.123318341831278
19,-0.143335257559523,-0.027629961549173,0.020914780897467,-0.024400948459087,-0.130409091404162,-0.338086511971996
19.1,-3.94237502407299,-0.037161318407495,-0.036458346239844,-0.144150763110777,-0.006150689014903,-0.134973782699698
19.2,-0.077392742222388,-0.026191181899596,-0.080340340360112,-0.065287596181588,-0.294069224138588,-3.2605361684303
19.3,-2.59359232856837,-0.066244685761872,0.007896143542341,-0.170329523204691,-0.49843579875439,-0.034971700470167
19.4,-0.068261812499966,-0.112763370244306,-0.054461870730273,-0.343112190922449,-0.673034844403207,-0.874327487001072
19.5,-0.131328886678992,-0.155821684164855,-0.175178406350764,-1.0752997711804,-0.243172525353766,-0.34019426245204
19.6,-0.431684756344052,-0.195567211294828,-1.82498887504112,-0.232561536135932,-0.685281082847008,-0.110211599757844
19.7,-0.096940350995279,-0.24404335860878,-0.399914150081189,-0.386374269320802,-0.99629683209315,-0.192497914928224
19.8,-0.006268012913343,-0.327730121077054,-3.52100146795952,-0.0551263628197,-0.861758585582724,-0.032996070152103
19.9,-1.36263760933441,-0.489125583999788,-0.148383170360345,-7.94302643825738,0.157250467566098,-0.160805485991472
20,-0.851474036361231,-0.784072572220399,-0.973787857945612,-0.292858716308828,-0.135529492498388,-0.292418894973291
