Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='15mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='16mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='17mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='18mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='19mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='20mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='21mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='22mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='23mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='24mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
3.3,-1.096943071,-0.984305568,-0.684259775,-0.569605943,-0.4793052,-0.404272069,-0.323303902,-0.258854587,-0.234212882,-0.203255559,-0.173079246
3.4,-0.993470868,-0.890413059,-0.628021042,-0.509574611,-0.426798593,-0.354836557,-0.283920562,-0.276457678,-0.217964424,-0.169799648,-0.140261258
3.5,-0.900004472,-0.805188815,-0.575258055,-0.455342369,-0.379276435,-0.309420513,-0.248169181,-0.295709068,-0.203955499,-0.140877635,-0.112642968
3.6,-0.815312016,-0.727635915,-0.524391018,-0.406190729,-0.336117835,-0.267888391,-0.215619338,-0.316002543,-0.191378512,-0.116428621,-0.09038565
3.7,-0.738345159,-0.656898699,-0.474581466,-0.361507702,-0.296789567,-0.230127052,-0.185922553,-0.337340164,-0.179615331,-0.096314055,-0.073241624
3.8,-0.668206455,-0.592236384,-0.425648214,-0.32076808,-0.260827646,-0.196009416,-0.15880069,-0.358876685,-0.168206964,-0.080308944,-0.06065352
3.9,-0.604123487,-0.533001985,-0.377918412,-0.28351734,-0.227821403,-0.165365533,-0.134035706,-0.353989052,-0.156828809,-0.068097725,-0.05185899
4,-0.545428223,-0.478625441,-0.332047613,-0.249358219,-0.197398986,-0.137959735,-0.111460261,0.474835215,-0.145270483,-0.059273762,-0.045987188
4.1,-0.491540433,-0.428600027,-0.28884137,-0.217939172,-0.169213129,-0.113472035,-0.090948949,0.204727454,-0.133419181,-0.053341988,-0.042141624
4.2,-0.441954263,-0.38247134,-0.249102276,-0.188944001,-0.142925758,-0.091481394,-0.072409975,-0.07188917,-0.121245645,-0.049724724,-0.039468596
4.3,-0.396227226,-0.339828184,-0.21351519,-0.162081898,-0.118189603,-0.071449433,-0.055777284,-0.140644623,-0.108791954,-0.047771215,-0.037212477
4.4,-0.353971038,-0.300294789,-0.182573381,-0.137077089,-0.094625181,-0.052718273,-0.041003162,-0.161863715,-0.096160538,-0.046771835,-0.034759762
4.5,-0.314843764,-0.263523752,-0.156541506,-0.113657133,-0.07179707,-0.034662432,-0.028051402,-0.164542823,-0.08350405,-0.045978356,-0.031673773
4.6,-0.278542839,-0.229189077,-0.135447933,-0.091539427,-0.049235692,-0.018407743,-0.016891163,-0.15762171,-0.071016019,-0.044632145,-0.027721761
4.7,-0.24479851,-0.1969786,-0.119098193,-0.070419333,-0.026873558,-0.036109607,-0.007491658,-0.144975705,-0.058922469,-0.042003018,-0.022896188
4.8,-0.213367251,-0.166585034,-0.107102286,-0.049986553,-0.009637491,-14.3284509,0.00018218,-0.128776637,-0.047475103,-0.037443545,-0.017432618
4.9,-0.184024684,-0.137695239,-0.098910212,-0.030142607,-0.100850011,-0.311279077,0.006172844,-0.110510489,-0.036947036,-0.030469167,-0.011828368
5,-0.156557557,-0.109979503,-0.093851863,-0.01277766,-4.468953076,-0.124319146,0.010531997,-0.091347976,-0.027632679,-0.020890383,-0.006869603
5.1,-0.13075455,-0.083093794,-0.091178878,-0.023182293,-0.324147135,-0.072078116,0.013320463,-0.072296777,-0.01985418,-0.009070428,-0.003681655
5.2,-0.106396809,-0.056763302,-0.090107126,-1.632253248,-0.142851143,-0.044930891,0.014605965,-0.054271263,-0.013978273,0.003467206,-0.003831547
5.3,-0.083253535,-0.031335065,-0.089859108,-0.586881616,-0.08442406,-0.026922704,0.014457811,-0.038131897,-0.010449909,0.012330201,-0.009541915
5.4,-0.061105584,-0.011637315,-0.089705716,-0.171486033,-0.054160373,-0.013945115,0.012937237,-0.02471932,-0.009853985,0.004780337,-0.024144264
5.5,-0.039895936,-0.050100631,-0.089006687,-0.090302504,-0.035123441,-0.004944862,0.010081209,-0.014899967,-0.013026599,-0.056355974,-0.053070263
5.6,-0.020487881,-2.821336762,-0.087248634,-0.055408471,-0.022235025,-4.44E-05,0.005875936,-0.0096408,-0.021258903,-0.21001924,-0.106147881
5.7,-0.009003714,-0.971164517,-0.084079075,-0.035570488,-0.013601409,3.26E-05,0.000213346,-0.010139794,-0.036686018,-0.202133457,-0.203413474
5.8,-0.055931661,-0.287720732,-0.079334392,-0.022779232,-0.005134435,-0.007025842,-0.007181908,-0.018061777,-0.063074082,-0.037320174,-0.391812933
5.9,-1.848347766,-0.151966328,-0.073059426,-0.013234903,0.001678247,-0.015247418,-0.01687906,-0.035983466,-0.107539905,0.077613865,-0.802441325
6,-1.162457663,-0.094141856,-0.065516628,-0.006581167,0.003618916,-0.022951089,-0.029970704,-0.068284443,-0.184690533,0.151337659,-1.900992896
6.1,-0.289328479,-0.06116746,-0.057183421,-0.002862787,0.00130251,-0.032432802,-0.048511971,-0.123073343,-0.327900169,0.203922082,-6.050633695
6.2,-0.143339456,-0.039600772,-0.048737826,-0.002091967,-0.004987039,-0.04644412,-0.076418412,-0.216775685,-0.625434981,0.244111829,-16.64290758
6.3,-0.08567106,-0.024617308,-0.04103442,-0.004332655,-0.015410433,-0.068654895,-0.12145548,-0.386490556,-1.364384059,0.275500547,-3.772472155
6.4,-0.054378782,-0.014118832,-0.035075133,-0.009799266,-0.03074506,-0.104584751,-0.200108064,-0.729040765,-3.804078348,0.299640391,-1.508531465
6.5,-0.034667048,-0.007093665,-0.03198229,-0.018982426,-0.052681811,-0.16358235,-0.351102025,-1.553772885,-19.32029276,0.317265839,-0.768744834
6.6,-0.021388843,-0.003047178,-0.032984547,-0.032826389,-0.084387535,-0.263404337,-0.67965105,-4.185146339,-5.945551345,0.328791115,-0.447736917
6.7,-0.012353157,-0.001778097,-0.039430704,-0.053006539,-0.131655577,-0.442071449,-1.537464028,-21.08701932,-2.149480903,0.334521838,-0.280647932
6.8,-0.006534806,-0.003290739,-0.052853273,-0.082406285,-0.205451278,-0.793380052,-4.502589487,-5.914338962,-1.058985519,0.334745782,-0.182036559
6.9,-0.003468941,-0.007773332,-0.075116856,-0.126010097,-0.328102612,-1.595601162,-30.46997425,-2.13525352,-0.617322627,0.329769239,-0.118467826
7,-0.003013559,-0.01561974,-0.108714254,-0.192722635,-0.550305807,-3.914649848,-5.506951771,-1.038344241,-0.396869612,0.319928133,-0.075166646
7.1,-0.005248901,-0.027493075,-0.157335292,-0.29942755,-1.005999562,-14.75124502,-2.140656998,-0.598924657,-0.270591267,0.305587637,-0.045129782
7.2,-0.010438087,-0.044445201,-0.226979045,-0.481067326,-2.132151967,-7.835688942,-1.072536675,-0.384003647,-0.191020722,0.287137115,-0.024878836
7.3,-0.019024842,-0.068126696,-0.328245546,-0.819252546,-5.870684104,-2.669536459,-0.603575313,-0.263746703,-0.137401127,0.264983805,-0.012524129
7.4,-0.031666974,-0.10115946,-0.481441509,-1.53879848,-24.99669408,-1.21367121,-0.350248696,-0.189467565,-0.099604747,0.239546919,-0.006770009
7.5,-0.04932071,-0.147824448,-0.729175269,-3.418923579,-4.794665248,-0.645529667,-0.192807577,-0.139800519,-0.072309501,0.211252843,-0.00639405
7.6,-0.073411761,-0.215403865,-1.171711063,-10.50723586,-1.847723537,-0.375506612,-0.085446296,-0.104248457,-0.052594861,0.180531584,-0.010031707
7.7,-0.106165046,-0.316991025,-2.084036824,-10.97226399,-0.896258615,-0.230077552,-0.008517531,-0.077222969,-0.03884284,0.147814265,-0.016185975
