Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='15mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='16mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='17mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='18mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='19mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='20mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='21mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='22mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='23mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='24mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
10.9,-3.5019577,-17.19065338,0.776359132,-0.412440977,-0.080352995,-0.01152045,-0.011225469,-0.029755305,-0.114329158,-0.757144911,-0.224863076
11,-10.24444239,-5.798476453,-0.617409146,-6.396077742,-0.04163646,-0.010247532,-0.019625735,-0.047924727,-0.16580475,-6.099776875,-0.043175567
11.1,-12.00193932,-1.475090114,-0.179206892,-0.425763875,-0.0206249,-0.009904283,-1.244694134,-0.066219129,-0.254948771,-0.465528494,-0.02022748
11.2,-3.183550998,-0.063194497,-11.06433197,-0.107350207,-0.008864198,-0.008919942,-0.022703627,-0.083701473,-0.560903405,-0.001849562,-2.807263165
11.3,-0.967714602,-3.320475666,-1.317582206,-0.026939162,-0.003117639,-0.006763202,-0.037142844,-0.107971176,-0.510734902,0.001567367,-0.256694434
11.4,-0.363648957,-0.677639817,-0.358833606,-0.002775962,-0.001756437,-0.003206997,-0.053374056,-0.204563174,-0.360857059,-0.023948728,0.00365844
11.5,-0.970119706,-0.653740654,-0.158920605,0.000532647,-0.00372585,0.00323708,-0.072216051,-0.448129828,-10.76885857,-0.050277128,-0.507063834
11.6,-0.403035424,-0.320728001,-0.083012514,-0.004681186,-0.00820636,0.025208819,-0.093070204,-0.424863408,-0.361765006,-0.072710876,0.075414
11.7,-0.058462738,-0.18547187,-0.034497399,-0.012618503,-0.014501705,-0.289849593,-0.131298933,-1.33881707,-0.010689301,-0.089678554,-0.088034165
11.8,0.172509334,-0.110524367,0.011253581,-0.020146483,-0.022009646,-0.07096036,-0.20584947,-5.028790394,0.026476299,-0.100457027,-0.121548794
11.9,0.359277639,-0.065167324,0.049714137,-0.02555821,-0.030224243,-0.068695201,-0.277436444,-0.111933861,-0.004715579,-0.10488537,-0.31268457
12,0.519356892,-0.037462995,0.061739436,-0.02808387,-0.038749567,-0.081551772,-0.499298319,-0.016909618,-0.112332866,-0.103369156,-0.244338545
12.1,0.653120127,-0.019953059,0.04126389,-0.027672449,-0.04731622,-0.10397017,-3.121696432,-0.049762376,-0.474107792,-0.09693066,0.045994283
12.2,0.754092958,-0.011803243,0.007224829,-0.024888757,-0.055796586,-0.140360696,-0.011536448,-0.090637283,-4.097209389,-0.087274164,-0.001634934
12.3,0.813026274,-0.016082268,-0.019004647,-0.020863138,-0.064216557,-0.223356843,-0.94587046,-0.099837705,-0.415917977,-0.076868235,-0.120134725
12.4,0.82024207,-0.17615142,-0.029844907,-0.017260614,-0.072762352,-0.212329713,-0.105845435,-0.1147212,-0.023140605,-0.069047229,-0.299408824
12.5,0.767420464,-0.028989849,-0.02853589,-0.016245667,-0.081781898,-0.078684473,-0.10035458,-2.493773605,-0.029937144,-0.068127086,-0.438766132
12.6,0.649023681,-0.002425866,-0.02278757,-0.020422069,-0.091781371,-0.102089492,-0.118448657,0.472811743,-0.055958949,-0.079519843,-0.381042621
12.7,0.463220916,0.127746388,-0.021434673,-0.032729639,-0.103419472,-0.202524892,-0.158740652,0.232659312,-0.06704585,-0.109818108,-0.274416722
12.8,0.21214279,0.134006164,-0.033141991,-0.056284946,-0.11750487,-0.330004949,-0.380634165,0.040700834,-0.065008362,-0.1668088,-0.344256597
12.9,-0.014233468,0.000579551,-0.058316272,-0.067594668,-0.135006224,-0.551941951,-0.930227316,0.003336066,-0.066288008,-0.259375775,-0.604645868
13,-0.010283339,0.015679315,-0.074092158,-0.047976196,-0.157087533,-2.4226844,-0.230584443,0.04376609,-0.087511932,-0.397287864,-1.96808798
13.1,-0.009397232,-0.006403351,-0.098445149,-0.09618598,-0.185173734,-1.227996223,-2.966522353,-0.001828549,-0.143879489,-0.590986288,-3.188840181
13.2,-0.011517681,-0.035437819,-0.134884555,-0.179032206,-0.220961871,-0.071638172,-0.037631278,-0.071221495,-0.379625606,-0.851755287,-0.062233907
13.3,-0.016661119,-0.052549157,-0.185871153,-0.186142526,-0.265585476,-3.710068401,-0.027015474,-0.11432545,-0.144575843,-1.19321262,0.240779647
13.4,-0.024976293,-0.058493301,-0.250292877,-0.209725417,-0.309797624,-0.634362525,-0.068399565,-0.1587945,-0.391047558,-1.636235254,-0.117628971
13.5,-0.03685452,-0.064956213,-0.31656466,-0.097320251,-0.126145912,-0.03797951,-0.034768099,-0.266168194,-0.214727247,-2.22246753,-0.470826583
13.6,-0.05315803,-0.084834325,-0.3453804,-0.429429785,-1.302120261,-0.014027773,-0.089775733,-0.471566382,-0.508485386,-3.051524377,-12.20544154
13.7,-0.075752168,-0.136730182,-0.25959684,-0.129457745,-3.011841544,-0.040181988,-0.132061608,-0.46775543,-1.367355205,-4.398441414,-2.890820308
13.8,-0.108955444,-0.338979766,-0.107083796,-0.462652491,-0.280433757,-0.074515109,-0.173263248,-0.311624722,-0.126497037,-7.19071784,-0.202196188
13.9,-0.164472936,-0.656058726,-0.202119061,-0.81451293,-1.289075904,-0.10796688,-1.763257099,-0.578705948,-1.02814296,-13.95388129,-0.013614875
14,-0.285373056,-0.031004431,-0.423178104,-1.356633086,-0.064754295,-0.136742163,-0.427492434,-1.414251856,-7.508217007,-4.239895292,0.009222572
14.1,-0.788303491,-0.079913744,-0.613638422,-6.399318947,-0.021764613,-0.176797227,-0.588182821,-0.381154181,-3.694911555,1.187688561,-0.030786313
14.2,-6.771402735,-0.116997661,-0.765639298,-10.27979508,-0.248713712,-0.261369374,-2.400918636,-4.297696071,-0.676095273,3.601401146,0.094872323
14.3,-0.06145783,-0.146843062,-0.628443011,-1.156217678,-0.050804106,-0.389004536,-0.114493296,-12.07640907,-0.205405787,2.309808779,-0.252865893
14.4,-0.034983166,-0.173458036,-1.045975431,-0.129896296,-0.092887957,-0.644400664,-0.594903867,-1.804513024,-0.076175789,-0.685163932,-0.149296683
14.5,-0.194028942,-0.200983274,-2.71988706,-0.207267123,-0.145623513,-1.628350615,-0.556399231,-2.818304329,-0.034991236,-0.99560459,-0.158909214
14.6,-0.037244082,-0.234923266,-1.081853284,-0.018542242,-0.229290133,-0.6705848,-2.26497035,-0.012823099,-0.019787744,-0.892553391,-1.02629296
14.7,-0.041383332,-0.28347655,-1.138565295,-0.038141966,-0.375574028,-0.763058199,-7.125061126,-0.185212397,0.016002673,-0.748287153,-0.05646074
14.8,-0.078622138,-0.360255711,-0.2602445,-0.077049301,-0.637587597,-19.48505901,0.222009102,-0.024820435,0.499030166,-0.605963473,-0.278792906
14.9,-0.11599691,-0.491453531,-0.77979777,-0.133808654,-1.101357511,-0.134227834,-0.104271355,-0.009027533,-0.153688992,-0.470936789,-7.964581279
15,-0.156534539,-0.738047882,-0.073878505,-0.254374627,-1.895277331,-1.11852142,-0.041887957,-0.021058843,-0.206499967,-0.3443293,-0.433803601
15.1,-0.202815545,-1.279895334,-0.017880115,-0.339292706,-3.186443469,-11.67164266,-1.607437764,-0.066657768,-0.349174334,-0.227184028,-0.081758199
15.2,-0.257090224,-2.838348498,-0.02251728,-0.526029713,-5.157078858,-0.183623324,-0.030716765,-0.162997595,-2.196751398,-0.120763822,-0.036390432
15.3,-0.326895918,-21.37492429,-0.044343411,-0.979253099,-5.298964494,-0.038319059,-0.040531395,-0.086716432,-0.792747314,-0.941292216,-0.008951499
15.4,-0.453038123,-14.70848275,-0.094941275,-5.117175958,-0.231148103,-0.791565105,-0.106019715,-0.228725549,-0.085621683,-0.810137819,-0.380847525
15.5,-0.495141745,-0.695155512,-0.180009543,-0.394992747,-0.042441929,-7.826058311,-0.114287157,-0.574809617,-0.052206446,-0.048178728,-0.074737995
15.6,-0.778645003,-0.033290341,-0.316295123,-5.561373044,-0.461143635,-0.04573091,-0.071997736,-3.878075655,-0.083332601,-0.034751469,-0.312039425
15.7,-1.17363737,0.006167286,-0.554362636,-2.658994372,-0.062767221,0.033847698,-0.146510689,-1.04527746,-2.761649504,-0.077316952,-0.164137345
15.8,-3.179666517,-0.04865668,-0.988593977,-0.65950738,-0.448646626,-0.149905205,-0.24834708,-0.031562995,-0.375304762,-0.127253958,-0.302791401
15.9,-12.41635051,-0.125693756,-3.094806356,-0.087022855,-1.498463594,-1.504167037,-0.437296358,-0.078205354,-0.061078655,-0.178537677,-0.405458638
16,-0.36274971,-0.210016618,-2.836258772,-0.105384872,-2.110214136,-0.104486141,-3.05561525,-0.152526991,-0.22975146,-0.237297325,-0.457424972
16.1,-0.374362349,-0.302755859,-0.116969747,-0.234233347,-4.874658944,-0.30796828,-0.124351338,-0.21264392,-0.182373311,-0.321926438,-0.752668608
16.2,-0.039579821,-0.420451104,-8.414535141,-0.250787507,-0.194236391,-0.489533623,-0.161142721,-0.252206266,-0.275218876,-0.668042797,-6.158477712
16.3,-0.018106701,-0.630654939,-0.464539714,-0.446205423,-0.406344717,-0.073320034,-0.036270828,-0.269174043,-0.30170588,-0.842969503,-0.113273735
16.4,-0.058676447,-1.435998981,-0.281071597,-1.387901359,-0.325587753,-0.392473194,-0.988235874,-0.262804779,-0.347606613,-0.912266265,-0.215574282
16.5,-0.119906784,-0.539812109,-1.357813699,-2.460877991,-0.190472148,-3.593897261,-0.28631196,-0.267857362,-0.41032275,-3.289003837,-0.37457392
16.6,-0.185736847,-0.594155338,-6.077013363,-0.286398464,-0.042989142,-5.06846886,-0.152408481,-0.516227658,-0.647238559,-1.714947253,-0.506302344
16.7,-0.28019198,-0.993127814,-0.356538695,-2.455307573,-0.078030287,-0.138665726,-0.180359679,-3.756272177,-0.940303771,-3.359546651,-1.43644574
16.8,-0.31205495,-1.915937446,-0.162669163,-0.291846477,-0.154100731,-0.186087842,-0.224121423,-0.36979331,-8.528731809,-0.100025585,-1.564229789
16.9,-0.343994974,-10.99194637,-0.547909983,-0.833002926,-0.385934664,-0.216998504,-0.296783502,-1.303078431,-1.139076294,-0.106997422,-1.404943969
17,-0.675691142,-0.105548472,-2.411159359,-0.334343868,-20.06202704,-0.245591709,-0.484426098,-0.914277072,-3.813386518,-0.787339554,-6.942239286
17.1,-1.343440956,-0.081427749,-0.376035631,-0.16119255,-0.051111884,-0.275555375,-2.338265643,-0.770464731,-1.29124305,-0.649190665,-0.725864469
17.2,-8.47073436,-0.279844685,-2.910350929,-0.146174457,-0.063445192,-1.33961687,-0.351008705,-1.418866616,-0.814620283,-1.741857222,-0.446987351
17.3,-0.453444607,-0.62140777,-1.101911038,-0.353386315,-0.095043701,-0.462811553,-0.616663955,-16.93287399,-1.267197601,-1.592096574,-0.199324241
17.4,-0.124730665,-1.680911763,-1.593394848,-3.658062395,-0.135063565,-0.950376673,-1.054443805,-2.024278218,-0.460131803,-1.456431328,-0.29953041
17.5,-0.294542798,-8.789414185,-0.153863752,-0.06805756,-0.224448942,-1.107511599,-0.003755816,-0.288785493,-0.615177812,-4.875663487,-0.460059108
17.6,-0.385227701,-3.731504563,-0.118787898,-0.127756315,-0.444026651,-0.141486726,-0.384049997,-1.972018376,-1.03028964,-0.364069757,-0.511725525
17.7,-0.282593662,-1.956211029,-0.206962449,-0.160041708,-0.417730804,-0.155537685,-1.288014659,-0.260548021,-0.44751528,-0.153446866,-0.495065207
17.8,-0.532000696,-0.74051565,-0.580889205,-1.165225334,-0.872656811,-0.137433033,-0.893861894,-0.541195778,-0.809962922,-0.309620624,-1.057436953
17.9,-2.230141859,-0.123483822,-0.648998989,-0.225800129,-8.183708032,-0.116865144,-0.213416946,-0.420121337,-1.199743704,-0.464941293,-0.220642249
18,-5.590780316,-0.264702089,-0.167340987,-0.310982588,-0.085144686,-0.097333359,-0.20954704,-0.447373328,-0.267031371,-1.793930396,-0.858290535
18.1,-0.088711773,-0.063245166,-0.071414059,-1.086203025,-0.027478183,-0.086162289,-0.867653799,-0.697355605,-0.585593311,-0.808491152,-0.575884796
18.2,-0.080459924,-0.163984003,-0.135843293,-0.570637738,-0.083366857,-0.104848188,-0.265920123,-0.608999983,-1.366349786,-8.654724091,-0.578770297
18.3,-0.086092462,-0.193808139,-0.17253029,-1.794172822,-0.13708015,-0.266406626,-0.414603615,-3.449309189,-17.75354491,-1.171363237,-0.346374275
18.4,-0.267519105,-1.300457934,-0.243293113,-0.162780799,-1.096986552,-0.430400021,-1.244523017,-0.500334362,-4.696453974,-1.396877265,-0.42866083
18.5,-5.629179545,-0.04850022,-0.813495311,-0.395859666,-1.574806533,-0.15044592,-6.51945029,-2.936897028,-0.864539952,-3.584626088,-0.074924115
18.6,-1.034340642,-0.032918439,-1.979200752,-8.828575151,-0.099520834,-0.217469622,-0.872899317,-6.212586483,-0.266008378,-0.913458186,-0.045858883
18.7,-0.193855769,-0.081313764,-0.302080548,-0.586342843,-0.18226392,-0.519339228,-0.03508316,-0.131063577,-3.865833446,-0.933453197,-0.035007123
18.8,-0.369510725,-17.23191389,-0.648727131,-0.016696897,-0.170465905,-1.614461842,-0.119383124,-0.223072362,-1.142931707,-0.101143731,-0.146873872
18.9,-0.510409448,-0.087581499,-1.991854746,-0.020628898,-3.421064691,-7.188000659,-1.723828741,-1.072144277,0.040312123,-0.123184442,-0.481174831
19,-0.158573444,-1.151470439,-16.05826891,-0.148050852,-0.272785483,-1.611589305,-1.119063964,-0.750414776,-0.178162188,-0.340088844,-0.342093094
19.1,-0.057245248,-0.045486902,-1.204553885,0.00708056,-0.662887046,-0.433231921,-0.45482569,-2.153693927,-0.037903995,-0.451517067,-0.177227448
19.2,-0.113640789,-0.162406807,-0.237552769,-0.206341096,-0.931398395,-1.571989276,-3.771816106,-1.080243777,0.065098831,-0.184312747,-0.093824976
19.3,-0.20768251,-0.359899438,-0.078515908,-0.11290504,-3.272771298,-1.041216617,-1.698301037,-0.28031229,-0.027766083,-0.635452201,-0.237202466
19.4,-0.318103174,-0.985441173,-0.642602338,-0.183235618,-1.587291913,-0.156925817,-0.097390896,-0.149172369,-0.046588243,-0.284401943,-0.05258008
19.5,-0.50433183,-0.413269015,-0.135497668,-0.293981908,-1.394166883,-1.306179994,-0.159543652,-0.116209175,-0.100892434,0.101833143,-0.082708726
19.6,-0.446561777,-5.949957827,-0.042653173,-0.139421117,-3.555452521,-1.822089258,-0.077027089,-0.22742593,-0.19986268,-0.224229956,-0.066864043
19.7,-0.67411258,-6.98569477,-0.057711954,-0.491651376,-0.042119492,-1.473270032,-2.234420196,-0.238513445,-0.387045167,-2.627439883,0.608629689
19.8,-1.47225644,-1.337891478,-0.230080361,-1.070057122,-10.4736635,-0.782733583,-0.237922787,-0.120029881,-1.236293795,-2.063711637,-2.031433333
19.9,-8.798425891,-0.51404131,-0.04287937,-28.80628815,-0.204250048,-0.341679774,-0.157597232,-0.05981435,-1.630017059,-0.075460602,-0.139061481
20,-0.246812918,-0.203679412,-0.190367201,-0.08876361,-1.1606841,-0.399897008,-0.359441878,-0.101174442,-0.255704271,-0.350011603,-0.230561097
